,model,metric,std_err,mean
0,LogReg,accuracy,0.000859826213674,0.839401905029
1,LogReg,f1,0.000838379370104,0.839353823392
2,LogReg,precision,0.000847261873773,0.840815462578
3,LogReg,recall,0.000859826213674,0.839401905029
4,MultinomialNB,accuracy,0.00101229630661,0.837215929071
5,MultinomialNB,f1,0.000973504379903,0.837294250237
6,MultinomialNB,precision,0.000941175937301,0.840868771926
7,MultinomialNB,recall,0.00101229630661,0.837215929071
8,SVM,accuracy,0.00410907972033,0.747606727038
9,SVM,f1,0.0042900998063,0.747641585239
10,SVM,precision,0.00416025054123,0.761832482242
11,SVM,recall,0.00410907972033,0.747606727038
